1425799780610027522	2021-08-12 12:42:12+00:00	"SAVE THE DATE: 5th annual Thomas Ashe Commemorative Lecture, Thurs 23rd Sept.   ""The who, how and when of responding to the Climate Emergency"" with @LNBDublin   Spoiler Alert: the 'when' of responding to the Climate Emergency is NOW...... https://t.co/BLYYYrrFsW"
1426083474683973632	2021-08-13 07:29:30+00:00	Met the most famous post box in Ireland this week! A very nice touch, in a series of very nice touches, from @Postvox. Maith sibh.  🇮🇪🙌😊 #kellieharrington #gold https://t.co/s6r9xO8fuh
1426531492147208193	2021-08-14 13:09:46+00:00	Mise freisin…. https://t.co/aKLfbP7ldp
1426548883304468480	2021-08-14 14:18:52+00:00	I wasn't there or invited to be there. https://t.co/x5RY7Cpi70
1426633321744904197	2021-08-14 19:54:24+00:00	Casino Royale is right! 🤣 https://t.co/RqOoefLz63
1426820388575760384	2021-08-15 08:17:44+00:00	⚡️Blackouts loom. Some communities are already experiencing increasingly regular outages.  ⚡️At the root of this is a Govt. energy policy like Jekyll &amp; Hyde - incoherent, conflicting, contradictory - and which now risks the lights going out. https://t.co/yGGTuiD0jS
1426848528257765379	2021-08-15 10:09:33+00:00	😊🍂 Clann Uí Ruairc out this morning in Balrath Wood, Co. Meath, for the annual Chieftain’s Walk - to remember Martin McGuinness and to support the Martin McGuinness Peace Foundation.   There’s still time to register and support here: https://t.co/r77TW8eBdb https://t.co/4Nq4Lwq0f3
1426882306464178186	2021-08-15 12:23:46+00:00	Best wishes to @meathladiesMLGF in this afternoon’s Senior All-Ireland Semi-Final against Cork.   Tremendous achievement to make it this far so nothing to fear or lose today.  Tune in to @TG4TV to cheer them on. Throw in 3.30pm.   #UpTheRoyal 💚💛 #AnMhíAbú 💚💛 https://t.co/GpAgURzicD
1426937544948715528	2021-08-15 16:03:16+00:00	It’s not over ‘til the final whistle as they say! #AnMhíAbú https://t.co/dsyqGnEMaa
1426945032460832768	2021-08-15 16:33:01+00:00	Unbelievable Meath heart. Brilliant stuff from @meathladiesMLGF 🙌🙌  💚💛#AnMhíAbu
